Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
111_1.png,0,0,0,0,6460,6460
111_10.png,2489,0,0,0,3896,6385
111_11.png,2654,0,0,0,3343,5997
111_12.png,4406,2988,0,0,3475,10869
111_13.png,4144,6733,0,0,3007,13884
111_14.png,4579,5800,0,2603,2651,15633
111_15.png,5200,6772,0,3526,2197,17695
111_16.png,5163,5704,317,6592,2498,20274
111_17.png,6501,6619,1371,2514,2608,19613
111_18.png,11432,3554,0,57,2536,17579
111_19.png,12376,3158,0,0,2620,18154
111_2.png,22,0,0,0,6520,6542
111_20.png,11367,2504,33,4432,2569,20905
111_21.png,9776,3269,230,5632,2613,21520
111_22.png,8926,1929,407,6226,2508,19996
111_23.png,11306,1935,1006,3548,2385,20180
111_24.png,12515,1621,529,0,2379,17044
111_25.png,13100,1330,1160,0,2699,18289
111_26.png,14473,243,1142,0,2775,18633
111_27.png,15592,0,653,0,2481,18726
111_28.png,15491,0,696,0,2617,18804
111_29.png,15704,0,977,0,2713,19394
111_3.png,579,659,0,0,6290,7528
111_30.png,15308,0,1092,0,2829,19229
111_4.png,1235,964,0,0,6070,8269
111_5.png,1727,1238,0,0,5837,8802
111_6.png,2179,2208,0,47,4275,8709
111_7.png,1803,1338,0,33,5638,8812
111_8.png,1869,905,0,4,5400,8178
111_9.png,2362,2062,0,0,3398,7822
