Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
46_1.png,0,0,12517,0,1562,14079
46_10.png,0,4327,2182,9712,1042,17263
46_11.png,0,6130,1136,9745,1154,18165
46_12.png,0,6557,612,10669,1076,18914
46_13.png,0,6479,319,11145,1141,19084
46_14.png,0,5750,245,10482,1093,17570
46_15.png,20,2273,268,9962,1063,13586
46_16.png,0,2112,1450,5358,1329,10249
46_17.png,0,1583,4588,1080,1353,8604
46_2.png,0,0,14882,0,1335,16217
46_3.png,0,0,14367,0,1306,15673
46_4.png,0,0,15788,375,1597,17760
46_5.png,0,0,15704,0,1277,16981
46_6.png,0,203,11080,4124,1374,16781
46_7.png,0,1199,13163,1617,1175,17154
46_8.png,0,1857,4718,10010,1180,17765
46_9.png,0,3059,8924,5689,1096,18768
