Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
117_1.png,0,0,0,0,6216,6216
117_10.png,1283,0,383,0,2805,4471
117_11.png,1154,0,26,0,2772,3952
117_12.png,1312,0,96,0,3089,4497
117_13.png,1718,0,718,0,2976,5412
117_14.png,1783,0,599,0,2776,5158
117_15.png,1655,0,897,0,2798,5350
117_16.png,1598,0,1568,190,2596,5952
117_17.png,1285,0,2463,461,2712,6921
117_18.png,998,0,3479,0,2486,6963
117_19.png,517,0,4040,1573,2415,8545
117_2.png,0,0,0,0,6099,6099
117_20.png,705,0,2002,2325,2230,7262
117_21.png,749,0,1966,922,2782,6419
117_22.png,962,0,2706,0,2268,5936
117_23.png,1620,0,2379,596,2255,6850
117_24.png,2193,0,1420,0,2576,6189
117_25.png,1064,0,509,0,2802,4375
117_3.png,0,0,0,0,6136,6136
117_4.png,0,0,0,0,4967,4967
117_5.png,452,0,0,0,4116,4568
117_6.png,598,0,0,0,3676,4274
117_7.png,792,0,202,0,3317,4311
117_8.png,792,0,202,0,3317,4311
117_9.png,1178,0,79,0,3176,4433
