Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
90_1.png,1719,0,293,8310,759,11081
90_10.png,1612,0,7369,12229,362,21572
90_11.png,2115,381,7003,12217,374,22090
90_12.png,1551,0,2940,15717,356,20564
90_13.png,947,0,7245,12572,86,20850
90_14.png,1013,244,5016,13061,0,19334
90_15.png,1308,0,4459,13991,0,19758
90_16.png,863,0,3482,13575,348,18268
90_17.png,1257,0,2132,11189,315,14893
90_18.png,1080,0,528,11578,487,13673
90_19.png,1931,6,186,9464,445,12032
90_2.png,1981,0,20,10209,703,12913
90_20.png,1543,0,160,8920,601,11224
90_21.png,1084,0,131,6035,574,7824
90_3.png,1781,0,170,8942,638,11531
90_4.png,2248,657,1506,10628,654,15693
90_5.png,1925,0,2248,11921,559,16653
90_6.png,2021,0,3265,12021,479,17786
90_7.png,1862,0,2912,12592,407,17773
90_8.png,1739,0,4077,13719,410,19945
90_9.png,1709,0,7424,11225,403,20761
