Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
5_1.png,19333,0,0,0,408,19741
5_10.png,18976,2629,1112,7105,365,30187
5_11.png,16224,3343,462,10815,130,30974
5_12.png,17763,3634,1648,10206,262,33513
5_13.png,21319,3041,1423,8522,335,34640
5_14.png,23011,1338,196,7113,11,31669
5_15.png,21393,0,76,9754,261,31484
5_16.png,22344,0,475,8730,263,31812
5_17.png,21314,26,1634,9128,308,32410
5_18.png,26687,51,0,0,0,26738
5_2.png,18052,0,1067,1793,287,21199
5_3.png,17771,11,822,3697,234,22535
5_4.png,16988,0,1778,5733,47,24546
5_5.png,18965,0,465,5292,222,24944
5_6.png,18615,0,0,4842,193,23650
5_7.png,19462,0,483,5423,181,25549
5_8.png,19599,0,2363,4024,241,26227
5_9.png,20260,2193,668,5237,58,28416
