Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
47_1.png,2727,132,3764,1207,286,8116
47_10.png,6383,2623,5955,0,454,15415
47_11.png,7345,2452,6604,0,838,17239
47_12.png,6989,2113,7088,0,1140,17330
47_13.png,7443,2572,7277,654,345,18291
47_14.png,8823,1718,7345,611,582,19079
47_15.png,7798,1541,8054,0,669,18062
47_16.png,6709,1643,9756,0,700,18808
47_17.png,6532,2379,10686,1050,478,21125
47_18.png,9128,836,9250,0,474,19688
47_19.png,9251,0,8583,0,179,18013
47_2.png,1923,0,3645,7424,63,13055
47_20.png,10079,236,7553,0,563,18431
47_3.png,4583,831,3576,2828,0,11818
47_4.png,6431,539,3715,2737,295,13717
47_5.png,6486,1272,3589,1235,131,12713
47_6.png,7993,1398,3740,0,2,13133
47_7.png,7725,1684,3749,2618,0,15776
47_8.png,8793,1806,3714,702,8,15023
47_9.png,8003,2552,4331,0,107,14993
