Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
18_1.png,2716,367,238,4706,2400,10427
18_10.png,6714,3243,5312,1923,873,18065
18_11.png,7029,1783,4680,2976,1344,17812
18_12.png,6200,2926,3632,3208,1204,17170
18_13.png,6155,3796,5097,1438,1207,17693
18_14.png,6633,3921,4045,90,1345,16034
18_15.png,7366,3520,3858,933,1335,17012
18_16.png,7991,4451,5767,218,1190,19617
18_17.png,8890,1593,3895,842,1320,16540
18_18.png,8782,1339,5699,2458,1067,19345
18_19.png,9715,1631,4863,3483,1102,20794
18_2.png,2542,1124,926,3430,2644,10666
18_20.png,10453,1410,3844,2869,985,19561
18_3.png,3162,2051,2382,3215,2131,12941
18_4.png,2721,2304,3817,2168,1722,12732
18_5.png,2707,1969,3676,0,2097,10449
18_6.png,3098,2753,4589,123,1371,11934
18_7.png,2808,2849,4729,287,1168,11841
18_8.png,3875,3659,3798,2134,1091,14557
18_9.png,5322,3427,4083,3232,1312,17376
