Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
26_1.png,18424,0,1660,992,3067,24143
26_10.png,14093,0,6612,3563,2937,27205
26_11.png,12827,103,6977,3289,2849,26045
26_12.png,14290,336,7877,2616,2929,28048
26_13.png,12917,0,7680,3192,2847,26636
26_14.png,11466,0,5520,3381,2936,23303
26_15.png,15851,563,5395,610,2908,25327
26_16.png,17939,678,4035,0,3022,25674
26_2.png,17442,0,1771,1025,3018,23256
26_3.png,16267,0,1600,2531,3076,23474
26_4.png,14498,0,1716,1228,2899,20341
26_5.png,15611,0,1068,5939,2997,25615
26_6.png,15719,0,2777,4113,3065,25674
26_7.png,15224,0,3896,3360,3070,25550
26_8.png,16040,0,5792,4716,2955,29503
26_9.png,15282,0,6070,3946,2918,28216
