Image_Name,SRF,PED,IRF,SHRM,IS/OS,Total_Lesion_Pixels
3_1.png,0,0,1493,7693,2432,11618
3_10.png,0,2075,3493,10856,2537,18961
3_11.png,0,4496,4632,11727,2781,23636
3_12.png,0,5076,4738,11590,2746,24150
3_13.png,0,6261,5344,11719,2555,25879
3_14.png,0,7050,6731,12111,2501,28393
3_15.png,2,7110,5527,12952,2444,28035
3_16.png,0,7276,6452,12580,2449,28757
3_17.png,0,5913,6760,11305,2465,26443
3_2.png,0,0,1800,8676,2566,13042
3_3.png,0,0,2121,8412,2396,12929
3_4.png,0,0,2340,9381,2385,14106
3_5.png,0,197,2017,9279,2602,14095
3_6.png,0,649,3555,9876,2908,16988
3_7.png,31,237,2945,10931,2725,16869
3_8.png,0,382,3559,9804,2730,16475
3_9.png,0,1677,2685,10981,2565,17908
